שם מלא,כיתה,תאריך לידה,מגמה,מחנך/ת,זכר - נקבה,שנת סיום,עיר,מה עושה היום,אימפקט הופה
אלון ברק,"י""ב 1",2006-09-26,תחזוקת מחשבים אישיים ורשתות תקשורת,נחמיאס דוד,זכר,"תשפ""א",ירושלים,,מלגה
כרים נסראללה,"י""ב 1",2007-07-21,אוטוטרוניקה,שגב מיכל,זכר,"תשפ""ג",,,עזרה כלכלית
עומר אגבאריה,"י""ב 1",2004-07-24,אוטוטרוניקה,אמסלם ציפי,זכר,,ירושלים,,מסתדר כרגע
שי שטרית,"י""ב 1",2000-07-19,מחשבים,ברזילי אורית,זכר,,,,
נועם כהן,"י""ב 3",2005-06-07,מחשבים,אמסלם ציפי,זכר,"תשפ""ה",ירושלים,חייל,
כרים סרסור,"י""ב 1",2005-10-04,אוטוטרוניקה,שגב מיכל,,"תשפ""ג",בית שמש,עובד,
אחמד רוזן,"י""ב 1",2002-06-18,אוטוטרוניקה,שביט איתן,זכר,"תשפ""ד",תקוע,עובד,
שירה סלים,"י""ב 3",2002-06-18,אוטוטרוניקה,שביט איתן,נקבה,"תשפ""א",ירושלים,,
סלמא דוד,"י""ב 3",2001-10-06,מחשבים,בן חיים שרית,,"תש""ף",גבע בנימין,,
שי וקנין,"י""ב 2",2002-03-27,מחשבים,ברזילי אורית,זכר,"תשע""ט",ירושלים,חייל,תעסוקה
אלון טויטו,"י""ב 3",2003-10-11,עיצוב שיער,מרום נועה,זכר,"תשפ""ג",ירושלים,,מלגה
אמל צדוק,"י""ב 2",2007-07-03,עיצוב שיער,שביט איתן,נקבה,"תשפ""ד",,חייל,
אמל טהא,"י""ב 2",2007-01-11,עיצוב שיער,ברזילי אורית,נקבה,"תשפ""ד",בת עין,,
בר עואד,"י""ב 1",2003-12-08,מחשבים,מרום נועה,זכר,"תשע""ט",,,מסתדר כרגע
אביגיל עוזרי,"י""ב 3",2001-06-09,עיצוב שיער,ברזילי אורית,נקבה,,ירושלים,מכינה,
דועא עוזרי,"י""ב 3",2000-03-13,מחשבים,בן חיים שרית,נקבה,"תשפ""ה",צור הדסה,,מלגה
יעל וקנין,"י""ב 2",2007-10-01,מחשבים,,נקבה,"תשפ""ה",נס הרים,עובד,מלגה
אחמד צדוק,"י""ב 2",2006-12-07,מחשבים,מרום נועה,זכר,"תשפ""ה",ירושלים,,מסתדר כרגע
הראל כרמלי,"י""ב 1",2000-12-04,עיצוב שיער,,,"תשפ""ב",בית שמש,,
עלי אבו ראס,"י""ב 2",2001-01-05,אוטוטרוניקה,אמסלם ציפי,זכר,,ירושלים,,
אלעד כרמלי,"י""ב 1",2003-01-25,מחשבים,קרן יואב,זכר,"תשע""ט",ירושלים,,
אסף לוי,"י""ב 3",2004-12-08,מחשבים,קרן יואב,זכר,"תשע""ט",בית שמש,,
חסן סלומון,"י""ב 3",2000-09-12,אוטוטרוניקה,מרום נועה,זכר,"תשפ""א",צור הדסה,,
ליאור לוי,"י""ב 1",2006-12-12,עיצוב שיער,שגב מיכל,זכר,"תשפ""ד",ירושלים,,מסתדר כרגע
אדם דראושה,"י""ב 1",2006-06-10,אוטוטרוניקה,שגב מיכל,זכר,"תש""ף",ירושלים,חייל,מסתדר כרגע
תומר אזולאי,"י""ב 3",2004-02-06,עיצוב שיער,שגב מיכל,זכר,"תשפ""ה",ירושלים,,
אדם תורגמן,"י""ב 3",2006-06-30,אוטוטרוניקה,הלוי רונן,,"תשפ""א",,,
אדם עואד,"י""ב 1",2006-09-11,מחשבים,אמסלם ציפי,זכר,"תשפ""ה",בית הערבה,,
כרים טל,"י""ב 1",2000-01-14,מלונאות,נחמיאס דוד,זכר,"תשפ""א",קרית ארבע,,מסתדר כרגע
יהונתן קדוש,"י""ב 2",2006-07-16,אוטוטרוניקה,מרום נועה,זכר,"תשפ""ה",,חייל,מסתדר כרגע
אלון נאור,"י""ב 1",2003-05-10,תחזוקת מחשבים אישיים ורשתות תקשורת,נחמיאס דוד,,"תשפ""ג",ירושלים,,מלגה
יהונתן דהן,"י""ב 2",2007-01-17,מלונאות,ברזילי אורית,זכר,"תשפ""ד",ירושלים,,מסתדר כרגע
יובל רחמים,"י""ב 1",2000-06-23,מחשבים,אמסלם ציפי,,,ירושלים,,מלגה
נדב פלד,"י""ב 1",2006-08-20,אוטוטרוניקה,נחמיאס דוד,זכר,"תשפ""ג",ירושלים,,
מאהר מלכה,"י""ב 2",2001-05-07,אוטוטרוניקה,בן חיים שרית,זכר,"תש""ף",ירושלים,,מסתדר כרגע
